"ERNv","HostSpecies","VirusType","PathogenSpecies","Virus","HostStageInfected","HostTissueInfected","FieldOrLab","Country","IntermediateHost","CreationDate","ModificationDate","ProvinceA","PathogenValue","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
1,"Agrilus suvorovi populneus","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
2,"Trachys auricollis","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",2705174,"Trachys","Buprestidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
3,"Melanophila picta","RNA virus","Reoviridae","CPV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
4,"Batocera lineolata","DNA virus","Baculoviridae","NPV","","","Field","Japan","",1996-01-08,1999-02-12,"","","Virus",583388,"Batocera","Cerambycidae","Coleoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
5,"Stenodryas clavigera ","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
6,"Chrysomela vigintipunctata","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",153828,"Chrysomela","Chrysomelidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
7,"Coccinella septempunctata brucki","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,2000-12-21,"","","Virus",41139,"Coccinella","Coccinellidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
8,"Anthonomus grandis","DNA virus","Baculoviridae","NPV","","","","","",1996-01-08,1999-02-12,"","","Virus",7044,"Anthonomus","Curculionidae","Coleoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
9,"Anthonomus grandis","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",7044,"Anthonomus","Curculionidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
10,"Curculio dentipes","DNA virus","Iridoviridae","IV","","","","","",1996-01-08,1999-02-12,"","","Virus",482598,"Curculio","Curculionidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
